Player,BatsmenRating
BB McCullum,3.8
V Kohli,5
TM Dilshan,3.4
MJ Guptill,3.8
Shoaib Malik,3.2
Mohammad Shahzad,3.8
JP Duminy,4.2
DA Warner,3.4
Umar Akmal,3.4
AB de Villiers,3
Mohammad Hafeez,2.8
CH Gayle,3.8
EJG Morgan,3.4
DPMD Jayawardene,3.8
RG Sharma,3.4
MN Samuels,3.2
SR Watson,3.4
H Masakadza,3.4
Shahid Afridi,2.6
AD Hales,3.8
KC Sangakkara,3.4
Ahmed Shehzad,3.2
SK Raina,3.4
MS Dhoni,3.8
HM Amla,3.8
Tamim Iqbal,2.8
LRPL Taylor,3
Shakib Al Hasan,3
F du Plessis,3.8
Yuvraj Singh,3.4
KP Pietersen,4.2
KS Williamson,3.8
DJ Bravo,2.8
AJ Finch,4.2
AD Mathews,3.2
DA Miller,3.4
JC Buttler,3.4
WTS Porterfield,2.4
Kamran Akmal,2.6
CL White,3.8
GC Smith,3.8
PR Stirling,3
G Gambhir,3.2
LMP Simmons,2.8
GC Wilson,2.8
Mohammad Nabi,2.6
Asghar Stanikzai,2.8
KJ Coetzer,2.8
Samiullah Shenwari,2.8
GJ Maxwell,3.4
Mahmudullah,2.4
Q de Kock,3.4
E Chigumbura,2.6
Misbah-ul-Haq,4
NLTC Perera,3
KA Pollard,2.6
LJ Wright,2.6
DJ Hussey,3
Shaiman Anwar,3.4
Sabbir Rahman,3.4
JE Root,4.2
Mushfiqur Rahim,2.4
J Charles,3
C Munro,3.4
MEK Hussey,4.2
LD Chandimal,2.4
MDKJ Perera,3.4
RS Bopara,3.2
CK Kapugedera,2.8
KJ O'Brien,2.4
RD Berrington,3
JH Kallis,3.6
W Barresi,2.8
Najibullah Zadran,3.8
SJ Myburgh,3
PW Borren,2.6
ST Jayasuriya,3
MR Swart,3.2
CJ Chibhabha,2.4
Salman Butt,3.2
BRM Taylor,3.4
DJG Sammy,2.6
PD Collingwood,2.6
DR Smith,2.6
SB Styris,3
ADS Fletcher,2.8
JA Morkel,3
MN Waller,3
MJ Lumb,3
S Dhawan,2.8
Babar Hayat,3.4
Soumya Sarkar,2.6
C Kieswetter,2.8
V Sibanda,2.4
CO Obuya,3.2
Noor Ali Zadran,3.2
Karim Sadiq,2
Nawroz Mangal,2.4
SC Williams,3
Imran Nazir,3
CS MacLeod,2.4
MJ Clarke,2.8
JDP Oram,2.6
GJ Bailey,3
JJ Roy,2.6
Babar Azam,4.6
E Lewis,3.8
NJ O'Brien,2.4
JEC Franklin,2.4
JD Ryder,3
Mohammad Ashraful,2.6
F Behardien,3.4
Younis Khan,3
CJ Anderson,3
SPD Smith,3
Gulbadin Naib,2.6
D Ramdin,2.4
PL Mommsen,3.8
BN Cooper,2.8
Rohan Mustafa,2.6
MW Machan,4.2
EC Joyce,3.6
TLW Cooper,3.4
BJ Haddin,2.4
RT Ponting,3.4
HH Gibbs,2.6
V Sehwag,3
Abdul Razzaq,2.4
MS Chapman,2.8
MH Cross,3
Shafiqullah,2.6
Sarfraz Ahmed,2.8
Muhammad Usman,2.8
Mashrafe Mortaza,2.2
Nizakat Khan,2.6
AM Rahane,2.4
Nasir Hossain,2.4
Zeeshan Maqsood,2.8
Nasir Jamshed,2.8
Sharjeel Khan,3
L Ronchi,2.6
Anamul Haque,3.6
OA Shah,3
RR Patel,2.4
AD Russell,2.2
SO Tikolo,3.4
S Chanderpaul,2.4
Sikandar Raza,2
A Symonds,5
JM Bairstow,3
RJ Nicol,2.4
RR Rossouw,3.4
AA Obanda,2.4
LE Bosman,3
Anshuman Rath,2.4
ML Hayden,0.6
KL Rahul,0.6
NL McCullum,2
RR Sarwan,2.8
Usman Ghani,2.8
HDRL Thirimanne,2.4
AN Kervezee,0.6
A Bagai,0.6
Mohammad Shahzad,2
TAM Siriwardana,2.6
AC Gilchrist,3
Amjad Javed,2.4
MV Boucher,2.4
T Taibu,3.2
Adnan Ilyas,2.8
SE Marsh,2.4
DT Johnston,2.6
RV Uthappa,2.8
UT Khawaja,0.6
MS Wade,2.4
J Mubarak,3
Rizwan Cheema,2.4
Khalid Latif,2.8
P Khadka,2.2
RE Levi,3
YK Pathan,2.6
DM Bravo,2.8
ES Szwarczynski,2.8
HG Munsey,2.6
JF Mooney,2.4
AR Cusack,2.2
CR Ervine,1.8
Aftab Ahmed,2.2
T Mishra,1.8
MN van Wyk,0.6
Sohaib Maqsood,2
WU Tharanga,2
H Patel,2.2
AD Poynter,2.4
Tanwir Afzal,2.2
TT Bresnan,2.6
Najeeb Tarakai,0.6
DO Obuya,0.6
KMDN Kulasekara,1.6
EMDY Munaweera,2.6
Khawar Ali,2.2
S Prasanna,2.2
RN ten Doeschate,0.6
RG Aga,2
CA Ingram,0.6
DL Vettori,2
TM Head,0.6
JM Kemp,0.6
DS Smith,0.6
MM Ali,2
JJ Atkinson,2.4
R Gunasekera,0.6
J Botha,2.6
Jatinder Singh,1.8
N Dickwella,0.6
S Vesawkar,0.6
BMAJ Mendis,3
Rameez Shahzad,0.6
Sohail Tanvir,2.2
CR Brathwaite,3
Fawad Alam,2.4
Asad Shafiq,0.6
Mukhtar Ahmed,0.6
BA Stokes,2.2
SR Patel,2
IR Bell,0.6
CD McMillan,0.6
SP Patil,1.8
Aizaz Khan,2
DAS Gunaratne,0.6
BJ Hodge,3
Nazimuddin,0.6
MJG Rippon,2.8
LPC Silva,2
NN Odhiambo,1.6
MK Pandey,3
RE van der Merwe,2.6
L Vincent,0.6
R Mutumbami,2
SR Thompson,2.2
RR Hendricks,0.6
IK Pathan,2.8
GD Elliott,2
MD Gunathilaka,0.6
M Vijay,0.6
DM de Silva,0.6
MD Shanaka,2
ME Trescothick,0.6
Umar Gul,1.6
TN de Grooth,2.4
TWM Latham,2.4
G Malla,1.4
JM Vince,0.6
Aamir Kaleem,1.8
H Davids,0.6
JP Faulkner,2
MC Henriques,3
Junaid Siddique,0.6
RR Watson,0.6
JL Ontong,2.6
Mudassar Bukhari,1.6
GSNFG Jayasuriya,1.4
CAK Walton,2
SW Poynter,2
HD Rutherford,0.6
SW Billings,2.2
KD Karthik,0.6
SP Narine,2.2
M Klinger,0.6
HH Pandya,2.2
A Vala,0.6
AC Voges,0.6
IJL Trott,0.6
KD Mills,2
Mohammad Naveed,2
DF Watts,1.4
AR White,2.8
TC Bruce,0.6
CJ Jordan,2
MR Marsh,0.6
GEF Barnett,0.6
AC Botha,2
Fakhar Zaman,0.6
Naeem Islam,0.6
Aqib Ilyas,0.6
Mirwais Ashraf,2
CK Coventry,2.2
PG Fulton,2
MA Ouma,1.4
MJ Prior,0.6
AJ Redmond,0.6
Wahab Riaz,2
RJ Peterson,2
R Ashwin,3.2
AD Mascarenhas,2.2
Imad Wasim,2.2
KM Jadhav,0.6
JDS Neesham,2.2
Umar Amin,1.8
DR Martyn,0.6
PJ Moor,0.6
Imrul Kayes,1.4
SCJ Broad,1.6
Ziaur Rahman,2.2
S Bau,0.6
RA Jadeja,1.6
Shahzaib Hasan,0.6
WD Parnell,3.2
DL Maddy,0.6
SP Khakurel,0.6
AP Devcich,0.6
SP Fleming,0.6
JT Smuts,0.6
Anwar Ali,2.2
MG Johnson,2
Karim Janat,1.8
Harbhajan Singh,2.2
B Zuiderent,0.6
Mohammad Rizwan,0.6
MD Dai,0.6
JR Hopes,2.4
M Mosehle,0.6
Sultan Ahmed,2.2
GP Swann,2.4
TG Southee,1.8
SM Davies,0.6
MA Leask,2
N Vanua,0.6
B Lee,2.6
S Dhaniram,1.4
Rashid Khan,2.6
BR Dunk,0.6
Mosaddek Hossain,0.6
TP Ura,0.6
Amir Ali,0.6
NR Kumar,0.6
Muhammad Kaleem,0.6
AM Samad,0.6
XM Marshall,0.6
RS Morton,0.6
ML Udawatte,0.6
MH Yardy,3.8
TM Odoyo,1
NS Poonia,0.6
JH Stander,1
P Utseya,1.4
C de Grandhomme,1.8
MC Sorensen,2.4
D Wiese,2.2
Yasir Arafat,2
Raees Ahmadzai,0.6
Saeed Ajmal,1.6
CR Woakes,0.6
CJA Amini,0.6
GM Hamilton,1.8
Sagar Pun,0.6
DLS van Bunge,1.8
CD Wallace,2.8
Waqas Barkat,1.4
GH Worker,0.6
AV Lalcheta,2.2
Mandeep Singh,0.6
DI Allan,0.6
GJ Hopkins,0.6
T Maruma,0.6
SM Pollock,2.2
Shamsur Rahman,0.6
Mohammad Mithun,2
Sompal Kami,1.8
JE Taylor,2
RML Taylor,0.6
A Balbirnie,0.6
JK Kamande,1.6
AS Hansra,0.6
TD Paine,1.6
Ehsan Khan,0.6
Faizan Asif,0.6
Mehran Khan,2
MJ Santner,1.6
CD Barnwell,0.6
GH Dockrell,1.6
Khurram Nawaz,0.6
DJ Malan,0.6
Nurul Hasan,0.6
L Siaka,0.6
DAJ Bracewell,3
KD Shah,1.4
A Flintoff,0.6
Imran Farhat,0.6
Irfan Ahmed,0.6
NFI McCallum,1.4
S Matsikenyeri,0.6
VS Solanki,0.6
GJ Thompson,0.6
DJ Willey,2
NJ Astle,0.6
BKG Mendis,0.6
KO Otieno,0.6
PM Seelaar,1.4
NT Broom,1.4
Khurram Khan,0.6
AR McBrine,2
SL Malinga,1.4
CH Morris,2
AJ Strauss,0.6
Farhad Reza,1.4
Awais Zia,0.6
SM Katich,0.6
MP O'Dowd,0.6
Dawlat Zadran,1.8
TM Dowlin,0.6
Mohammad Saifuddin,0.6
JNT Vare,0.6
Waqas Khan,0.6
AR Patel,0.6
AG Cremer,1.4
CA Lynn,0.6
SM Sharif,2.2
Shoaib Khan jnr,0.6
RM Haq,1.8
DP Hyatt,0.6
DJ Reekers,0.6
AN Cook,0.6
PD McGlashan,1
JWM Dalrymple,0.6
LM Jongwe,0.6
N Madziva,0.6
Mominul Haque,0.6
P Mustard,0.6
Zeeshan Siddiqui,0.6
PS Airee,0.6
DR Flynn,0.6
JN Mohammed,0.6
S Samarawickrama,0.6
Liton Das,0.6
CJO Smith,0.6
Alok Kapali,0.6
Sohag Gazi,0.6
JM How,0.6
SMSM Senanayake,1.4
C Carter,0.6
JH Davey,2.2
N Deonarine,0.6
GB Hogg,2.2
SO Ngoche,1.4
HS Baidwan,1.6
GD Drummond,1.4
Naseem Khushi,0.6
SMA Priyanjan,0.6
Usman Limbada,0.6
NM Coulter-Nile,1.6
RP Magar,0.6
IS Billcliff,0.6
TGJ Gruijters,0.6
Raqibul Hasan,0.6
HA Varaiya,4.6
Ghulam Shabber,0.6
Hamid Hassan,2.4
Mohammad Yousuf,0.6
U Bhatti,0.6
CU Jayasinghe,0.6
HG Kuhn,0.6
SD Outerbridge,0.6
DA Rankin,0.6
Shahid Wasif,0.6
K Weeraratne,0.6
Junaid Siddiqui,0.6
IA Karim,0.6
KM Dabengwa,0.6
JW Hastings,0.6
MM Iqbal,0.6
NM Odhiambo,0.6
JJ van der Wath,0.6
Haris Sohail,0.6
Haseeb Amjad,2
T van der Gugten,2
JM Davison,0.6
Saad Nasim,0.6
S Badrinath,0.6
NO Miller,0.6
RR Pant,0.6
L Tucker,0.6
Amjad Ali,0.6
JO Holder,0.6
NG Jones,0.6
AT Rayudu,0.6
Abdur Razzak,0.8
Ahmed Raza,1.2
K Jethi,0.6
Mohammad Amir,1.4
K Pala,0.6
Amir Hamza,1.6
BCJ Cutting,0.6
KDK Vithanage,0.6
RR David,0.6
Munir Dar,0.6
Rafatullah Mohmand,0.6
RI Ahmed,0.6
R Flannigan,0.6
NJ Maddinson,0.6
D Mongia,0.6
F Mutizwa,0.6
BJ Watling,0.6
SJ Benn,1.8
JS Foster,0.6
RM Hira,2.4
RJ Campbell,0.6
Mohammed Qasim,0.6
PA Patel,0.6
STR Binny,0.6
CD de Lange,0.6
VV Morea,0.6
D Murphy,0.6
R Powell,0.6
Shuvagata Hom,0.6
Arafat Sunny,0.6
Hammad Azam,0.6
Nadeem Ahmed,1.4
JD Nel,0.6
OL Pitcher,0.6
GO Jones,0.6
MF Maharoof,0.6
RJMGM Rupasinghe,0.6
WPUJC Vaas,0.6
WD Balaji Rao,0.6
SE Findlay,0.6
TG Gordon,0.6
GA Lamb,0.6
SNJ O'Keefe,0.6
Shadab Khan,0.6
J Theron,0.2
JC Tredwell,2.2
B Bhandari,0.6
TR Birt,0.6
R Dravid,0.6
Jahurul Islam,0.6
PA Nixon,0.2
H Osinde,1
WB Rankin,2
MRJ Watt,1.8
WW Hinds,0.6
S Badree,1.4
SS Iyer,0.6
AU Rashid,1.4
Abdul Shakoor,0.6
Ahsan Malik,1.6
Amjad Gul,0.6
PJ Cummins,1
TE Kane,0.6
A Nehra,1.4
PJ Ongondo,0.6
NE Bonner,0.6
DT Christian,1.6
Mehidy Hasan Miraz,0.6
Mohammad Iqbal,0.6
Nadif Chowdhury,0.6
SS Pathirana,0.6
AL Phehlukwayo,0.6
Shapoor Zadran,0.8
I Udana,1.6
MP Vaughan,0.6
Zulfiqar Babar,0.2
TB de Bruyn,0.6
D Ganga,0.6
Hamza Tariq,0.6
TJ Murtagh,2
AJ Turner,0.6
RA Bhatti,0.6
AM Ellis,0.6
CRD Fernando,1.2
G Goudie,0.6
RK Kleinveldt,0.6
PM Nevill,0.6
N Pooran,0.6
Raza-ur-Rehman,0.6
Shahriar Nafees,0.6
JW Dernbach,1.2
JN Gillespie,0.6
Rameez Raja,0.6
CP Schofield,0.6
C Zhuwao,0.6
KJ Abbott,2
AB Barath,0.6
Bilawal Bhatti,0.6
T Panyangara,3
LE Plunkett,1.2
Zulqarnain Haider,0.6
Abdur Rehman,0.6
AB Dinda,0.6
PJ Ingram,0.6
WP Masakadza,0.6
M Morkel,1.8
DP Nannes,2.2
AR Nurse,0.6
E Otieno,0.6
B Regmi,0.6
FL Reifer,0.6
Umair Ali,0.6
Anas Khan,0.2
SE Bond,1.2
PC de Silva,0.6
MR Gillespie,1
Kamran Shazad,0.6
AF Milne,0.8
Mohammad Nadeem,0.6
Mohammad Sami,2.2
Rony Talukdar,0.6
Shoaib Akhtar,1.8
SJS Smith,0.6
Taskin Ahmed,1.6
PA van Meekeren,1.2
RL Bhudia,0.6
JL Denly,0.6
DL Hemp,0.6
MJ North,0.6
JRMVB Sanjaya,0.6
S Sreesanth,0.6
Fahad Tariq,0.6
HGJM Kulatunga,0.6
CJ McKay,0.6
Muktar Ali,0.2
AM Phangiso,1.4
RLB Rambukwella,0.6
SV Samson,0.6
Shafiul Islam,1
RW Chakabva,0.6
LHD Dilhara,0.2
XJ Doherty,1.8
Hazratullah,0.6
Imran Tahir,2.4
Khurram Chohan,0.6
B Kumar,1.4
SW Masakadza,0.6
CT Mutombodzi,0.6
Nauman Anwar,0.6
Naved-ul-Hasan,0.6
Raza Hasan,0.2
CA Soper,0.6
S Thuraisingam,0.6
JW Wilson,0.6
TL Best,0.2
TS Chisoro,0.6
Faheem Ashraf,0.6
LN Onyango,0.6
PVD Chameera,2.2
CJ Ferguson,0.6
Kuldeep Yadav,0.6
LS Livingstone,0.6
Mehrab Hossain jnr,0.6
GD Phillips,0.6
JB Reva,0.6
BJ Rohrer,0.6
EHSN Silva,0.6
AB Agarkar,0.6
NW Bracken,1
BE Hendricks,0.6
E Katchay,0.6
HM Nicholls,0.6
LA Pomersbach,0.6
RW Price,0.8
Rubel Hossain,1.4
Shabir Noori,0.6
J Smits,0.6
DW Steyn,1
AO Suji,0.6
DT Tiripano,0.6
MK Tiwary,0.6
JDF Vandersay,0.6
VB van Jaarsveld,0.6
Abu Hider,0.6
SG Borthwick,0.6
ST Finn,0.6
MJ McClenaghan,1.2
JAH Marshall,0.6
GH O'Brien,0.6
AN Petersen,0.6
VD Philander,0.6
Saqlain Haider,0.6
VS Wategaonkar,0.6
CM Wright,0.6
AR Adams,0.6
TA Boult,0.8
J Edness,0.6
CR Foggo,0.6
SP Gauchan,0.6
PA Hitchcock,0.6
SHT Kandamby,0.6
SKW Kelly,0.2
Z Khan,1.8
Mohammad Rafique,0.6
CB Mpofu,1.6
CMW Read,0.6
Sufyan Mehmood,0.2
Usman Mushtaq,0.6
J Anderson,0.6
HMCM Bandara,0.6
HJH Marshall,0.6
NV Ojha,0.6
KOA Powell,0.6
R Rampaul,1.6
MA Starc,1
Fayyaz Ahmed,0.6
AJ Hall,0.6
Inzamam-ul-Haq,0.2
Khurram Manzoor,0.6
KS Lokuarachchi,0.6
WK McCallan,0.6
